t,v,gap,ttc,eff_off,lon_cmd,throttle,brake,rule_aeb,final_aeb,ovt,ped,ml_risk,ml_brake
3.2,1.378,16.32,11.85,0.02,-0.926,0.327,0.0,0,0,confirming,0,0.349,0.0
3.25,1.405,16.25,11.57,0.02,-0.916,0.324,0.0,0,0,confirming,0,0.366,0.0
3.3,1.553,16.18,10.42,0.02,-0.899,0.32,0.0,0,0,idle,0,0.399,0.0
3.35,1.577,16.1,10.21,0.02,-0.884,0.316,0.0,0,0,idle,0,0.428,0.0
3.4,1.719,16.02,9.32,0.02,-0.862,0.31,0.0,0,0,idle,0,0.471,0.0
3.45,1.739,15.93,9.16,0.02,-0.843,0.304,0.0,0,0,idle,0,0.511,0.0
3.5,1.872,15.84,8.46,0.02,-0.819,0.298,0.0,0,0,idle,0,0.571,0.0
3.55,1.888,15.75,8.34,0.02,-0.798,0.291,0.0,0,0,idle,0,0.622,0.0
3.6,2.013,15.65,7.77,0.02,-0.774,0.285,0.0,0,0,idle,0,0.683,0.0
3.65,2.024,15.55,7.68,0.02,0.097,0.0,0.012,0,0,idle,0,0.731,0.097
3.7,2.122,15.44,7.28,0.02,0.246,0.0,0.031,0,0,idle,0,0.779,0.246
3.75,2.063,15.34,7.44,0.02,0.334,0.0,0.042,0,0,idle,0,0.806,0.334
3.8,2.095,15.23,7.27,0.02,0.413,0.0,0.052,0,0,idle,0,0.83,0.413
3.85,1.993,15.13,7.59,0.019,0.449,0.0,0.056,0,0,idle,0,0.839,0.449
3.9,2.006,15.03,7.5,0.019,0.513,0.0,0.064,0,0,idle,0,0.853,0.513
3.95,1.888,14.94,7.91,0.019,0.554,0.0,0.069,0,0,idle,0,0.856,0.554
4.0,1.896,14.84,7.83,0.019,0.599,0.0,0.075,0,0,idle,0,0.859,0.599
4.05,1.771,14.75,8.33,0.019,0.607,0.0,0.076,0,0,idle,0,0.852,0.607
4.1,1.779,14.66,8.24,0.019,0.611,0.0,0.076,0,0,idle,0,0.847,0.611
4.15,1.651,14.58,8.83,0.019,0.562,0.0,0.07,0,0,idle,0,0.83,0.562
4.2,1.663,14.49,8.71,0.019,0.509,0.0,0.064,0,0,idle,0,0.815,0.509
4.25,1.535,14.41,9.39,0.019,0.399,0.0,0.05,0,0,idle,0,0.786,0.399
4.3,1.553,14.34,9.23,0.019,0.3,0.0,0.038,0,0,idle,0,0.76,0.3
4.35,1.433,14.26,9.95,0.019,0.146,0.0,0.018,0,0,confirming,0,0.719,0.146
4.4,0.352,14.22,40.39,0.019,-0.755,0.257,0.0,0,0,confirming,0,0.431,0.0
4.45,0.4,14.2,35.54,0.019,-0.8,0.272,0.0,0,0,confirming,0,0.26,0.0
4.5,0.506,14.17,28.04,0.019,-0.846,0.289,0.0,0,0,confirming,0,0.21,0.0
4.55,0.563,14.15,25.12,0.019,-0.875,0.299,0.0,0,0,confirming,0,0.191,0.0
4.6,0.668,14.11,21.12,0.019,-0.89,0.306,0.0,0,0,confirming,0,0.187,0.0
4.65,0.753,14.08,18.68,0.019,-0.896,0.309,0.0,0,0,confirming,0,0.19,0.0
4.7,0.868,14.04,16.17,0.019,-0.892,0.309,0.0,0,0,confirming,0,0.197,0.0
4.75,0.878,13.99,15.94,0.019,-0.888,0.308,0.0,0,0,confirming,0,0.197,0.0
4.8,1.006,13.95,13.87,0.018,-0.876,0.305,0.0,0,0,confirming,0,0.205,0.0
4.85,1.011,13.9,13.74,0.018,-0.866,0.302,0.0,0,0,confirming,0,0.21,0.0
4.9,1.157,13.84,11.97,0.018,-0.848,0.298,0.0,0,0,confirming,0,0.228,0.0
4.95,1.166,13.78,11.82,0.018,-0.833,0.293,0.0,0,0,confirming,0,0.244,0.0
5.0,1.289,13.72,10.65,0.018,-0.814,0.288,0.0,0,0,confirming,0,0.27,0.0
5.05,1.296,13.66,10.54,0.018,-0.797,0.283,0.0,0,0,confirming,0,0.296,0.0
5.1,1.402,13.59,9.69,0.018,-0.777,0.278,0.0,0,0,confirming,0,0.33,0.0
5.15,1.414,13.52,9.56,0.017,-0.76,0.272,0.0,0,0,confirming,0,0.361,0.0
5.2,1.51,13.44,8.9,0.017,-0.74,0.267,0.0,0,0,idle,0,0.394,0.0
5.25,1.525,13.37,8.76,0.017,-0.722,0.261,0.0,0,0,idle,0,0.42,0.0
5.3,1.62,13.29,8.2,0.017,-0.702,0.256,0.0,0,0,idle,0,0.454,0.0
5.35,1.634,13.21,8.08,0.017,-0.684,0.25,0.0,0,0,idle,0,0.49,0.0
5.4,1.723,13.12,7.61,0.017,-0.664,0.244,0.0,0,0,idle,0,0.552,0.0
5.45,1.733,13.04,7.52,0.016,-0.646,0.239,0.0,0,0,idle,0,0.614,0.0
5.5,1.817,12.95,7.13,0.016,-0.626,0.233,0.0,0,0,idle,0,0.682,0.0
5.55,1.822,12.86,7.06,0.016,0.118,0.0,0.015,0,0,idle,0,0.737,0.118
5.6,1.885,12.76,6.77,0.016,0.278,0.0,0.035,0,0,idle,0,0.787,0.278
5.65,1.836,12.67,6.9,0.016,0.406,0.0,0.051,0,0,idle,0,0.822,0.406
5.7,1.846,12.58,6.81,0.015,0.523,0.0,0.065,0,0,idle,0,0.848,0.523
5.75,1.76,12.49,7.09,0.015,0.624,0.0,0.078,0,0,idle,0,0.861,0.624
5.8,1.751,12.4,7.08,0.015,0.723,0.0,0.09,0,0,idle,0,0.871,0.723
5.85,1.519,12.32,8.11,0.014,0.729,0.0,0.091,0,0,idle,0,0.859,0.729
5.9,0.286,12.28,42.93,0.014,-0.595,0.202,0.0,0,0,confirming,0,0.638,0.0
5.95,0.418,12.26,29.35,0.014,-0.64,0.219,0.0,0,0,confirming,0,0.407,0.0
6.0,0.489,12.23,25.03,0.013,-0.691,0.237,0.0,0,0,confirming,0,0.286,0.0
6.05,0.553,12.21,22.06,0.013,-0.725,0.249,0.0,0,0,confirming,0,0.24,0.0
6.1,0.625,12.18,19.49,0.013,-0.745,0.257,0.0,0,0,confirming,0,0.217,0.0
6.15,0.707,12.14,17.18,0.013,-0.755,0.261,0.0,0,0,confirming,0,0.21,0.0
6.2,0.761,12.11,15.9,0.013,-0.758,0.263,0.0,0,0,confirming,0,0.209,0.0
6.25,0.839,12.07,14.39,0.013,-0.754,0.263,0.0,0,0,confirming,0,0.213,0.0
6.3,0.822,12.03,14.62,0.013,-0.752,0.262,0.0,0,0,confirming,0,0.21,0.0
6.35,0.955,11.98,12.55,0.012,-0.741,0.26,0.0,0,0,confirming,0,0.22,0.0
