target_v,max_v,mean_v,max_off,rms_off
10,8.7,7.8,0.19,0.118
15,13.7,9.6,0.20,0.139
20,18.4,11.6,0.20,0.144
25,22.7,13.6,0.16,0.122
30,27.8,15.0,0.16,0.122
